AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,IR,Red
10.1,0.14,1.02,-0.05,0.02,-0.01,124325,29318
10.08,0.15,1.04,-0.05,0.02,-0.01,124386,29283
10.08,0.1,1.05,-0.05,0.02,-0.01,124046,29233
10.07,0.14,1.07,-0.06,0.02,-0.01,123897,29244
10.06,0.11,1.07,-0.05,0.02,-0.01,124016,29250
10.11,0.16,1.0,-0.05,0.02,-0.01,124202,29321
10.08,0.12,1.07,-0.05,0.02,-0.01,124285,29329
10.08,0.17,1.07,-0.05,0.02,-0.01,124357,29340
10.06,0.12,1.01,-0.05,0.02,-0.01,124546,29347
10.12,0.16,1.0,-0.05,0.02,-0.01,124620,29350
10.08,0.13,1.08,-0.05,0.02,-0.01,124539,29320
10.09,0.15,1.05,-0.05,0.02,-0.01,124616,29331
10.08,0.12,0.98,-0.05,0.02,-0.01,124811,29352
10.07,0.17,1.05,-0.05,0.02,-0.01,124923,29383
10.07,0.12,1.1,-0.05,0.03,-0.01,124988,29403
10.09,0.14,1.0,-0.05,0.02,-0.01,125075,29414
10.09,0.13,1.03,-0.05,0.02,-0.01,125129,29406
10.08,0.12,1.06,-0.05,0.02,-0.01,125129,29385
10.06,0.13,1.05,-0.05,0.02,-0.01,125173,29395
10.09,0.12,1.02,-0.05,0.02,-0.01,125243,29396
10.08,0.13,0.99,-0.05,0.02,-0.01,125277,29370
10.11,0.17,1.05,-0.05,0.02,-0.01,125048,29330
10.12,0.11,1.04,-0.05,0.02,-0.01,124677,29300
10.12,0.13,1.07,-0.05,0.02,-0.01,124454,29294
10.1,0.16,1.03,-0.05,0.02,-0.01,124463,29324
10.06,0.14,1.04,-0.05,0.02,-0.01,124444,29287
10.11,0.14,1.04,-0.05,0.02,-0.01,124364,29267
10.1,0.13,1.02,-0.05,0.02,-0.01,124395,29271
10.07,0.12,1.05,-0.05,0.02,-0.01,124477,29273
10.11,0.14,1.04,-0.05,0.02,-0.01,124459,29257
10.13,0.12,1.06,-0.05,0.02,-0.01,124475,29266
10.09,0.15,1.03,-0.05,0.02,-0.01,124536,29275
10.1,0.14,1.03,-0.05,0.02,-0.01,124599,29300
10.13,0.12,1.05,-0.05,0.02,-0.01,124703,29336
10.12,0.14,1.03,-0.05,0.02,-0.01,124831,29333
10.08,0.15,1.06,-0.05,0.02,-0.01,124897,29341
10.12,0.14,1.06,-0.05,0.02,-0.01,124936,29336
10.11,0.11,1.01,-0.05,0.02,-0.01,124997,29353
10.11,0.13,1.0,-0.05,0.02,-0.01,125150,29372
10.12,0.14,1.06,-0.05,0.02,-0.01,125242,29348
10.1,0.12,1.01,-0.05,0.02,-0.01,125061,29317
10.08,0.14,1.03,-0.05,0.02,-0.01,124810,29322
10.1,0.12,1.06,-0.05,0.02,-0.01,124673,29324
10.09,0.13,1.01,-0.05,0.02,-0.01,124680,29330
10.14,0.12,1.03,-0.05,0.02,-0.01,124674,29333
10.11,0.14,0.99,-0.05,0.02,-0.01,124589,29297
10.09,0.12,1.05,-0.05,0.02,-0.01,124587,29309
10.13,0.11,1.04,-0.05,0.02,-0.01,124725,29312
10.11,0.12,1.04,-0.05,0.02,-0.01,124706,29283
10.1,0.13,1.07,-0.05,0.02,-0.01,124693,29303
10.14,0.12,1.07,-0.05,0.02,-0.01,124808,29325
10.08,0.11,1.04,-0.05,0.02,-0.01,124888,29350
10.08,0.15,1.0,-0.05,0.02,-0.01,124980,29378
10.11,0.12,1.06,-0.05,0.02,-0.01,125043,29374
10.12,0.13,1.06,-0.05,0.03,-0.01,125033,29347
10.09,0.14,1.02,-0.05,0.03,-0.01,124999,29339
10.09,0.11,1.05,-0.05,0.02,-0.01,125054,29348
10.13,0.15,1.06,-0.05,0.03,-0.01,125060,29322
10.07,0.1,1.05,-0.05,0.02,-0.01,125086,29306
10.09,0.15,1.04,-0.05,0.02,-0.01,124871,29270
10.07,0.12,1.05,-0.05,0.03,-0.01,124544,29271
10.13,0.12,1.05,-0.05,0.02,-0.01,124425,29281
10.12,0.13,1.06,-0.05,0.02,-0.01,124353,29258
10.06,0.13,1.06,-0.05,0.03,-0.01,124252,29237
10.09,0.13,1.08,-0.05,0.02,-0.02,124193,29235
10.09,0.1,1.07,-0.05,0.02,-0.01,124250,29238
10.08,0.13,1.05,-0.05,0.02,-0.01,124268,29225
9.97,0.11,1.12,-0.05,0.03,-0.01,124330,29237
10.14,0.12,1.05,-0.05,0.02,-0.01,124456,29245
10.08,0.11,1.05,-0.05,0.03,-0.01,124477,29269
10.07,0.16,1.04,-0.05,0.03,-0.01,124598,29310
10.07,0.1,1.11,-0.05,0.02,-0.01,124744,29314
10.12,0.11,1.0,-0.05,0.02,-0.01,124827,29306
10.07,0.1,1.08,-0.05,0.03,-0.01,124840,29298
10.11,0.12,1.09,-0.05,0.02,-0.01,124897,29296
10.1,0.12,1.08,-0.05,0.02,-0.01,125030,29300
10.08,0.14,1.02,-0.05,0.02,-0.01,125227,29335
10.07,0.14,1.05,-0.05,0.02,-0.01,125298,29332
10.11,0.1,1.07,-0.05,0.02,-0.01,125052,29324
10.08,0.13,1.12,-0.05,0.02,-0.02,124762,29296
10.07,0.11,1.03,-0.05,0.02,-0.01,124617,29286
10.09,0.15,1.07,-0.05,0.02,-0.01,124584,29276
10.11,0.15,1.11,-0.05,0.02,-0.01,124568,29266
10.07,0.13,1.03,-0.05,0.02,-0.01,124494,29253
10.07,0.13,1.06,-0.05,0.02,-0.01,124561,29262
10.09,0.11,1.09,-0.06,0.02,-0.01,124677,29275
10.11,0.13,1.07,-0.05,0.02,-0.01,124672,29297
10.07,0.11,1.07,-0.05,0.02,-0.01,124670,29300
10.07,0.11,1.06,-0.05,0.02,-0.01,124701,29307
10.09,0.15,1.08,-0.05,0.02,-0.01,124738,29302
10.07,0.11,1.05,-0.05,0.02,-0.01,124860,29324
10.09,0.11,1.03,-0.05,0.02,-0.01,124955,29317
10.13,0.12,1.03,-0.05,0.02,-0.01,124942,29297
10.07,0.14,1.12,-0.05,0.02,-0.01,125039,29310
10.08,0.1,1.04,-0.05,0.02,-0.01,125221,29342
10.1,0.15,1.02,-0.05,0.02,-0.01,125376,29380
